[1/1] RUN configure.py
[1/919] MWCC build/GEDE01/src/game/game_fn_80008014.o
[2/919] MWCC build/GEDE01/src/game/game_fn_800094C0.o
[3/919] MWCC build/GEDE01/src/game/game_fn_800098C0.o
[4/919] MWCC build/GEDE01/src/game/game_fn_800096E0.o
[5/919] MWCC build/GEDE01/src/game/game_fn_800099D8.o
[6/919] MWCC build/GEDE01/src/game/game_fn_80009AB4.o
[7/919] MWCC build/GEDE01/src/game/game_fn_8000A26C.o
[8/919] MWCC build/GEDE01/src/game/game_fn_8000AC88.o
[9/919] MWCC build/GEDE01/src/game/game_fn_8000AEB4.o
[10/919] MWCC build/GEDE01/src/game/game_fn_8000AFB4.o
[11/919] MWCC build/GEDE01/src/game/game_fn_8000B1B8.o
[12/919] MWCC build/GEDE01/src/game/game_fn_8000B36C.o
[13/919] MWCC build/GEDE01/src/game/game_fn_8000B7FC.o
[14/919] MWCC build/GEDE01/src/game/game_fn_8000B630.o
[15/919] MWCC build/GEDE01/src/game/game_fn_8000B900.o
[16/919] MWCC build/GEDE01/src/game/game_fn_8000BA0C.o
[17/919] MWCC build/GEDE01/src/game/game_fn_8000BC40.o
[18/919] MWCC build/GEDE01/src/game/game_fn_8000BAA0.o
[19/919] MWCC build/GEDE01/src/game/game_fn_8000C06C.o
[20/919] MWCC build/GEDE01/src/game/game_fn_8000C17C.o
[21/919] MWCC build/GEDE01/src/game/game_fn_8000C848.o
[22/919] MWCC build/GEDE01/src/game/game_fn_8000C400.o
[23/919] MWCC build/GEDE01/src/game/game_fn_8000C91C.o
[24/919] MWCC build/GEDE01/src/game/game_fn_8000D0BC.o
[25/919] MWCC build/GEDE01/src/game/game_fn_8000D3D4.o
[26/919] MWCC build/GEDE01/src/game/game_fn_8000D590.o
[27/919] MWCC build/GEDE01/src/game/game_fn_8000D8A4.o
[28/919] MWCC build/GEDE01/src/game/game_fn_8000DA50.o
[29/919] MWCC build/GEDE01/src/game/game_fn_8000DAF4.o
[30/919] MWCC build/GEDE01/src/game/game_fn_8000E054.o
[31/919] MWCC build/GEDE01/src/game/game_fn_8000E0AC.o
[32/919] MWCC build/GEDE01/src/game/game_fn_8000E138.o
[33/919] MWCC build/GEDE01/src/game/game_fn_8000E1C4.o
