side	offset	type	target_symbol_index	addend	resolved_instruction
left	20	R_PPC_ADDR16_HA	2	0	lis r5, lbl_8024F038@ha
left	52	R_PPC_ADDR16_LO	2	0	addi r26, r5, lbl_8024F038@l
left	64	R_PPC_REL24	3	0	bl fn_80158E7C
left	80	R_PPC_REL24	4	0	bl fn_8020D318
left	92	R_PPC_NONE	2	176	addi r3, r26, 0xb0
left	96	R_PPC_NONE	2	200	addi r4, r26, 0xc8
left	104	R_PPC_REL24	5	0	bl fn_80155BB0
left	120	R_PPC_REL24	6	0	bl memset
left	172	R_PPC_REL24	7	0	bl fn_8015B628
left	192	R_PPC_REL24	8	0	bl fn_8015B5C8
left	236	R_PPC_REL24	8	0	bl fn_8015B5C8
left	284	R_PPC_REL24	9	0	bl fn_80158E84
left	296	R_PPC_NONE	2	176	addi r3, r26, 0xb0
left	300	R_PPC_NONE	2	232	addi r4, r26, 0xe8
left	312	R_PPC_REL24	5	0	bl fn_80155BB0
left	328	R_PPC_REL24	8	0	bl fn_8015B5C8
left	564	R_PPC_REL24	9	0	bl fn_80158E84
left	572	R_PPC_REL24	8	0	bl fn_8015B5C8
left	596	R_PPC_REL24	8	0	bl fn_8015B5C8
left	640	R_PPC_REL24	8	0	bl fn_8015B5C8
left	656	R_PPC_REL24	8	0	bl fn_8015B5C8
left	668	R_PPC_REL24	8	0	bl fn_8015B5C8
left	724	R_PPC_REL24	8	0	bl fn_8015B5C8
left	824	R_PPC_REL24	10	0	bl DCFlushRange
right	16	R_PPC_REL24	11	0	bl _savegpr_22
right	24	R_PPC_ADDR16_HA	2	0	lis r5, lbl_8024F038@ha
right	56	R_PPC_ADDR16_LO	2	0	addi r26, r5, lbl_8024F038@l
right	68	R_PPC_REL24	3	0	bl fn_80158E7C
right	84	R_PPC_REL24	4	0	bl fn_8020D318
right	96	R_PPC_NONE	2	176	addi r3, r26, 0xb0
right	100	R_PPC_NONE	2	200	addi r4, r26, 0xc8
right	108	R_PPC_REL24	5	0	bl fn_80155BB0
right	124	R_PPC_REL24	6	0	bl memset
right	176	R_PPC_REL24	7	0	bl fn_8015B628
right	196	R_PPC_REL24	8	0	bl fn_8015B5C8
right	240	R_PPC_REL24	8	0	bl fn_8015B5C8
right	288	R_PPC_REL24	9	0	bl fn_80158E84
right	300	R_PPC_NONE	2	176	addi r3, r26, 0xb0
right	304	R_PPC_NONE	2	232	addi r4, r26, 0xe8
right	316	R_PPC_REL24	5	0	bl fn_80155BB0
right	332	R_PPC_REL24	8	0	bl fn_8015B5C8
right	572	R_PPC_REL24	9	0	bl fn_80158E84
right	580	R_PPC_REL24	8	0	bl fn_8015B5C8
right	604	R_PPC_REL24	8	0	bl fn_8015B5C8
right	648	R_PPC_REL24	8	0	bl fn_8015B5C8
right	668	R_PPC_REL24	8	0	bl fn_8015B5C8
right	680	R_PPC_REL24	8	0	bl fn_8015B5C8
right	736	R_PPC_REL24	8	0	bl fn_8015B5C8
right	836	R_PPC_REL24	10	0	bl DCFlushRange
right	848	R_PPC_REL24	12	0	bl _restgpr_22
